name_values,specimen,concentration_mean,concentration_min,concentration_max
Taurocholic acid (1/7),Bile,9910,9600,10220
Taurocholic acid (1/7),Blood,2.58285714285714,0,11.7
Chenodeoxycholic acid (1/10),Bile,5530,5400,5660
Chenodeoxycholic acid (1/10),Blood,5.041,0,46.3
Coprocholic acid (0/9),Blood,1.70136363636364,0,13.4
Cholic acid (1/13),Bile,32060,31830,32280
Cholic acid (1/13),Blood,6.65769230769231,0,124.5
Deoxycholic acid (1/4),Bile,11720,11570,11860
Deoxycholic acid (1/4),Blood,0.5225,0.22,1.02
Deoxycholic acid glycine conjugate (1/0),Bile,0.01,0.01,0.01
Chenodeoxycholic acid glycine conjugate (1/3),Bile,0.01,0.01,0.01
Chenodeoxycholic acid glycine conjugate (1/3),Blood,2.62,0,13.3
Lithocholic acid glycine conjugate (1/1),Bile,620,590,650
Lithocholic acid glycine conjugate (1/1),Blood,0.009,0.005,0.015
Glycoursodeoxycholic acid (0/3),Blood,0.13,0,0.7
Lithocholyltaurine (1/2),Bile,370,350,380
Lithocholyltaurine (1/2),Blood,1.212,0.366300289700889,2.05769971029911
Lithocholic acid (1/6),Bile,930,890,960
Lithocholic acid (1/6),Blood,0.381666666666667,0,3
Tauroursodeoxycholic acid (0/1),Blood,2,0.1,4
Taurodeoxycholic acid (1/1),Bile,0.01,0.01,0.01
Taurodeoxycholic acid (1/1),Blood,0.062,0,0.177
Sulfolithocholic acid (0/1),Blood,1.6,1.5,1.7
Ursodeoxycholic acid (0/5),Blood,5.49,0,51.3
Taurochenodesoxycholic acid (1/3),Bile,0.01,0.01,0.01
Taurochenodesoxycholic acid (1/3),Blood,0.333333333333333,0.1,1.2
Chenodeoxycholic acid 3-sulfate (0/1),Blood,0.1,0,1
Sulfolithocholylglycine (0/1),Blood,0.06,0.05,0.07
Ursodeoxycholic acid 3-sulfate (0/3),Blood,0.0893333333333333,0,0.7
"3beta,7alpha-Dihydroxy-5-cholestenoate (0/7)",Blood,5.331,0,25.4
"1b,3a,12a-Trihydroxy-5b-cholanoic acid (0/2)",Blood,0.5,0.0757359312880714,2
"3alpha,7alpha-Dihydroxycoprostanic acid (0/1)",Blood,0.6225,0.403,0.842
Isoursodeoxycholic acid (0/1),Blood,1.3,0.3,5
Hyodeoxycholic acid (0/1),Blood,0.1,0,0.2
Ursocholic acid (0/1),Blood,2.2,0.2,11.7
Deoxycholic acid glycine conjugate (1/0),Blood,0,,
Coprocholic acid (0/9),Bile,0,,
Glycoursodeoxycholic acid (0/3),Bile,0,,
Tauroursodeoxycholic acid (0/1),Bile,0,,
Sulfolithocholic acid (0/1),Bile,0,,
Ursodeoxycholic acid (0/5),Bile,0,,
Chenodeoxycholic acid 3-sulfate (0/1),Bile,0,,
Sulfolithocholylglycine (0/1),Bile,0,,
Ursodeoxycholic acid 3-sulfate (0/3),Bile,0,,
"3beta,7alpha-Dihydroxy-5-cholestenoate (0/7)",Bile,0,,
"1b,3a,12a-Trihydroxy-5b-cholanoic acid (0/2)",Bile,0,,
"3alpha,7alpha-Dihydroxycoprostanic acid (0/1)",Bile,0,,
Isoursodeoxycholic acid (0/1),Bile,0,,
Hyodeoxycholic acid (0/1),Bile,0,,
Ursocholic acid (0/1),Bile,0,,
