DB,SMILES,BA_type,alk_mods,ring_mods,delta_mz
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000549760000012611
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000549760000012611
BILELIB19,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)O'],['[*]O'],57.022013476
BILELIB19,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)O'],['[*]O'],57.022018096
BILELIB19,CC(CCC(=O)NCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)O'],['[*]O'],57.022013476
BILELIB19,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)O'],['[*]O'],57.022018096
BILELIB19,CC(CCC(=O)NCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)O'],['[*]O'],57.022013476
BILELIB19,CC(CCC(=O)NCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCC(=O)O'],['[*]O'],57.022008856
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000549760000012611
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000545140000042466
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00464916
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00465378
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00464916
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00465378
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00464916
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]O'],107.00464454
BILELIB19,CC(CCC(=O)NC(CS)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)NC(CS)C(=O)O'],['[*]O'],103.00973454
BILELIB19,CC(CCCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c25,['[*]C(C)CCCC(=O)O'],['[*]O'],0.000554444000044896
